S1	S2	S3
7	9	5
1	6	3
2	0	0
3	6	5
7	1	4
0	0	0
19	10	14
86	88	51
12	7	4
52	37	32
3	2	3
59	54	44
53	34	30
60	68	55
64	63	55
291	215	191
784	772	580
634	630	540
160	139	93
579	550	393
3360	3122	2608
6	10	7
4	6	7
10	9	9
20	12	9
352	332	326
399	410	329
3	3	2
8	6	10
4	5	3
18	6	18
13	15	12
38	25	24
56	49	59
8	2	6
40	28	26
11	8	4
29	28	25
5	4	1
12	5	2
107	99	97
25	29	18
96	103	69
403	378	290
367	401	337
4	1	0
87	119	93
67	85	76
107	135	116
5	7	7
39	33	32
72	54	72
49	45	42
105	130	119
85	72	63
4	6	2
4	7	7
43	47	48
2	4	3
1	2	3
22	16	18
1	5	5
1	2	1
53	51	30
38	25	19
57	71	62
389	440	315
241	219	173
250	249	230
20	18	12
88	118	101
49	70	44
3	4	4
19	17	13
98	118	112
137	131	101
523	476	469
22	19	15
1803	1874	1768
10	10	14
41	43	43
17	12	17
51	45	34
68	83	80
28	35	31
594	573	484
15	30	21
38	46	33
15	7	4
30	27	20
118	128	103
106	91	86
4	3	2
3	4	4
5	2	4
7	13	14
155	184	102
214	157	124
13	11	9
10	14	5
42	36	32
32	35	24
18	12	12
691	752	679
373	396	369
56	65	50
5	5	4
200	176	175
170	194	169
416	437	411
21	20	24
1321	1180	960
50	58	49
215	179	159
7	10	12
7	2	2
5	6	3
5	4	6
104	119	100
349	331	283
2909	2537	2098
64	73	49
1023	973	879
107	115	75
21	11	12
19	18	11
4	4	9
22	12	7
21	17	17
15	19	12
27	24	16
3	4	8
9	7	12
26	24	19
163	171	160
44	51	41
9	8	6
16	15	19
46	35	23
8	9	4
20	17	15
114	83	101
158	139	116
59	50	36
191	177	151
13	4	5
24	23	19
3	2	2
3	2	3
0	3	1
462	402	355
1199	1139	981
72	68	59
14	11	9
5	2	4
17	17	10
125	138	99
229	225	178
1	0	4
94	88	79
402	335	290
126	113	84
14	8	7
7	2	5
130	112	98
136	153	102
6	5	3
8	12	12
53	43	44
110	112	93
127	142	117
17	16	19
118	118	79
1902	1853	1559
161	150	159
153	156	132
3	6	0
17	24	24
10	16	11
0	0	0
20	16	17
47	57	30
50	45	39
64	38	35
95	64	63
4	0	2
8	16	10
3	0	1
5	9	6
14	14	12
57	50	33
0	2	0
34	29	20
39	24	16
8	6	1
19	15	9
844	853	703
23	35	28
158	141	134
27	26	15
442	521	510
163	165	179
29	12	13
3	0	1
442	521	510
945	986	810
164	173	136
42	41	39
939	967	794
164	173	136
52	56	52
102	110	105
9	14	10
10	9	10
103	75	58
127	142	113
202	183	174
351	345	324
50	53	44
12	10	6
8	12	2
125	139	139
149	127	113
96	90	82
127	135	107
20	17	21
29	27	16
29	32	29
118	97	77
18	17	18
76	62	52
4	5	6
85	85	67
19	14	16
17	26	16
22	17	14
258	288	244
78	79	62
435	392	364
456	476	434
46	32	32
104	86	78
478	428	341
169	128	121
107	101	76
97	99	104
139	168	140
5	0	1
12	16	18
29	27	20
14	12	12
424	460	398
673	769	605
139	121	125
172	196	144
154	178	121
5	5	2
62	63	37
48	51	43
138	159	150
307	326	293
15	10	16
557	569	473
95	148	110
5	0	7
67	64	60
38	43	29
22	22	21
206	220	171
141	152	114
110	163	122
29	27	19
509	663	516
44	40	28
177	149	142
8	19	11
25	29	21
3683	3787	3374
63	57	50
173	166	164
256	227	196
310	317	270
46	40	37
141	135	129
829	707	599
59	42	36
10	5	6
43	39	41
206	190	153
9201	9498	7899
3170	3201	2763
72	60	58
42	46	29
17	11	7
42	56	44
7	5	7
0	1	1
30	21	21
6	10	9
560	486	445
