S1	S2	S3
4	6	6
1	2	5
1	0	3
7	10	12
6	2	8
1	0	0
8	7	14
29	27	48
5	3	5
16	14	9
0	1	0
10	7	6
22	25	22
52	68	50
38	46	50
106	121	130
467	385	421
388	348	359
99	83	106
296	310	324
1090	1050	1179
2	5	12
7	4	8
12	12	16
25	24	29
203	204	221
229	207	198
0	0	1
1	3	5
1	2	1
5	7	6
9	4	6
17	15	19
33	39	55
2	3	9
17	12	5
15	13	8
19	22	19
4	2	2
8	2	3
56	56	69
18	25	24
72	91	100
275	250	269
254	283	272
0	0	1
65	67	74
75	72	89
99	116	108
2	4	2
14	25	18
78	60	63
42	32	49
93	95	123
16	13	21
3	0	3
4	5	1
4	12	2
1	1	2
0	0	1
4	2	4
2	0	1
0	0	0
18	24	23
26	13	20
31	25	30
127	137	160
97	95	117
203	194	221
6	12	6
76	91	76
25	34	38
0	3	2
6	2	4
154	166	159
27	34	40
71	84	71
6	2	5
1468	1445	1573
3	2	1
16	23	20
11	12	7
23	25	23
42	47	39
7	19	14
412	407	412
17	19	10
32	20	25
7	9	9
19	14	19
94	118	85
85	102	113
5	6	5
3	3	6
0	1	1
3	5	9
62	72	79
84	103	122
6	4	7
5	10	7
14	16	17
8	7	9
10	7	5
588	567	609
285	296	294
33	38	40
1	0	0
88	76	88
66	233	195
368	434	441
20	26	24
476	529	523
71	91	87
132	141	173
10	8	14
1	0	0
6	3	5
1	1	2
91	98	92
239	234	253
1009	931	989
46	46	68
561	583	589
91	67	88
7	5	4
6	8	11
5	1	4
11	9	9
13	15	14
11	7	8
16	7	18
2	3	2
6	6	3
9	17	19
43	54	68
22	17	24
6	4	4
6	17	15
15	24	28
6	6	6
8	16	11
51	46	52
55	59	85
29	34	31
70	76	88
1	2	0
16	13	9
0	1	0
0	0	1
0	0	0
276	257	308
1530	1455	1625
43	39	43
6	6	16
2	5	2
14	6	13
98	123	113
155	189	182
0	0	0
71	58	97
203	234	239
74	66	84
2	9	2
3	2	1
50	58	76
90	87	89
5	7	5
7	8	7
38	40	43
90	73	100
90	90	103
20	9	13
46	46	54
1105	1117	1243
167	201	206
155	153	160
1	3	5
14	14	14
11	8	6
0	0	0
10	8	11
31	25	25
29	11	24
17	20	12
25	18	29
0	1	0
1	1	0
0	0	0
6	4	7
9	4	8
18	22	12
0	0	1
7	7	10
5	1	5
1	6	2
11	5	21
456	457	455
13	30	29
64	61	76
5	3	6
155	153	150
44	55	53
8	13	10
0	2	0
155	153	150
555	560	612
160	161	145
29	29	40
542	549	598
160	161	145
30	21	19
31	24	31
1	4	3
2	2	1
20	17	16
38	34	33
71	72	81
98	94	113
36	39	37
7	2	7
7	7	7
142	104	130
96	74	86
56	43	57
37	59	36
9	21	24
13	10	14
18	24	12
48	50	42
10	17	14
33	17	29
1	1	3
30	35	35
14	11	12
11	10	6
7	2	5
93	98	105
33	26	34
87	101	78
273	243	263
29	28	29
97	92	98
201	262	329
70	71	81
86	75	69
145	148	173
48	55	45
0	0	0
9	9	17
6	7	14
9	10	5
347	390	390
756	651	710
181	191	179
117	140	148
88	111	106
7	3	3
47	46	40
40	52	54
99	92	109
157	138	154
6	10	5
280	297	290
60	52	54
6	2	2
59	51	33
17	15	10
0	2	0
140	147	153
46	55	56
49	55	53
7	18	12
365	442	475
40	42	51
100	102	116
10	14	15
21	27	27
749	767	777
29	25	30
73	93	81
51	49	42
157	177	197
27	27	34
79	92	90
274	270	295
36	21	26
2	2	2
37	33	37
100	114	118
3393	3270	3864
2203	2279	2380
25	22	11
19	13	14
7	10	7
55	60	74
9	6	2
2	1	1
7	16	11
7	7	4
230	264	294
